,Candidat,Departement,Parti,Score
452,Lionel Jospin,manche,Parti socialiste,"20,19%"
453,Jean-Marie Le Pen,manche,Front national,"11,07%"
454,Robert Hue,manche,Parti communiste,"5,81%"
455,Arlette Laguiller,manche,Lutte ouvrière,"5,66%"
456,Philippe de Villiers,manche,"
								MPF								","5,32%"
457,Dominique Voynet,manche,Les Verts,"3,39%"
458,Jacques Cheminade,manche,"
								Nouvelle solidarité								","0,33%"
459,Jacques Chirac,marne,rpr,"20,84%"
460,Lionel Jospin,marne,Parti socialiste,"20,57%"
461,Edouard Balladur,marne,UDF,"18,85%"
462,Jean-Marie Le Pen,marne,Front national,"17,62%"
463,Robert Hue,marne,Parti communiste,"7,46%"
464,Arlette Laguiller,marne,Lutte ouvrière,"5,82%"
465,Philippe de Villiers,marne,"
								MPF								","5,25%"
466,Dominique Voynet,marne,Les Verts,"3,30%"
467,Jacques Cheminade,marne,"
								Nouvelle solidarité								","0,29%"
468,Lionel Jospin,haute-marne,Parti socialiste,"21,04%"
469,Jean-Marie Le Pen,haute-marne,Front national,"20,34%"
470,Jacques Chirac,haute-marne,rpr,"19,64%"
471,Edouard Balladur,haute-marne,UDF,"17,89%"
472,Robert Hue,haute-marne,Parti communiste,"6,92%"
473,Arlette Laguiller,haute-marne,Lutte ouvrière,"5,31%"
474,Philippe de Villiers,haute-marne,"
								MPF								","4,99%"
475,Dominique Voynet,haute-marne,Les Verts,"3,53%"
476,Jacques Cheminade,haute-marne,"
								Nouvelle solidarité								","0,35%"
477,Edouard Balladur,mayenne,UDF,"26,76%"
478,Jacques Chirac,mayenne,rpr,"23,66%"
479,Lionel Jospin,mayenne,Parti socialiste,"19,74%"
480,Jean-Marie Le Pen,mayenne,Front national,"9,47%"
481,Philippe de Villiers,mayenne,"
								MPF								","6,43%"
482,Arlette Laguiller,mayenne,Lutte ouvrière,"5,15%"
483,Robert Hue,mayenne,Parti communiste,"4,71%"
484,Dominique Voynet,mayenne,Les Verts,"3,76%"
485,Jacques Cheminade,mayenne,"
								Nouvelle solidarité								","0,32%"
486,Lionel Jospin,meurthe-et-moselle,Parti socialiste,"23,61%"
487,Jean-Marie Le Pen,meurthe-et-moselle,Front national,"18,12%"
488,Edouard Balladur,meurthe-et-moselle,UDF,"18,07%"
489,Jacques Chirac,meurthe-et-moselle,rpr,"17,72%"
490,Robert Hue,meurthe-et-moselle,Parti communiste,"8,34%"
491,Arlette Laguiller,meurthe-et-moselle,Lutte ouvrière,"6,47%"
492,Philippe de Villiers,meurthe-et-moselle,"
								MPF								","3,94%"
493,Dominique Voynet,meurthe-et-moselle,Les Verts,"3,46%"
494,Jacques Cheminade,meurthe-et-moselle,"
								Nouvelle solidarité								","0,27%"
495,Edouard Balladur,meuse,UDF,"21,33%"
496,Lionel Jospin,meuse,Parti socialiste,"21,25%"
497,Jean-Marie Le Pen,meuse,Front national,"19,76%"
498,Jacques Chirac,meuse,rpr,"17,38%"
499,Robert Hue,meuse,Parti communiste,"5,96%"
500,Arlette Laguiller,meuse,Lutte ouvrière,"5,32%"
501,Philippe de Villiers,meuse,"
								MPF								","5,06%"
502,Dominique Voynet,meuse,Les Verts,"3,62%"
503,Jacques Cheminade,meuse,"
								Nouvelle solidarité								","0,32%"
504,Edouard Balladur,morbihan,UDF,"23,37%"
505,Lionel Jospin,morbihan,Parti socialiste,"22,64%"
506,Jacques Chirac,morbihan,rpr,"19,96%"
507,Jean-Marie Le Pen,morbihan,Front national,"13,78%"
508,Robert Hue,morbihan,Parti communiste,"7,14%"
509,Arlette Laguiller,morbihan,Lutte ouvrière,"5,34%"
510,Philippe de Villiers,morbihan,"
								MPF								","4,06%"
511,Dominique Voynet,morbihan,Les Verts,"3,48%"
512,Jacques Cheminade,morbihan,"
								Nouvelle solidarité								","0,23%"
513,Jean-Marie Le Pen,moselle,Front national,"23,82%"
514,Edouard Balladur,moselle,UDF,"20,47%"
515,Lionel Jospin,moselle,Parti socialiste,"19,40%"
516,Jacques Chirac,moselle,rpr,"17,18%"
517,Arlette Laguiller,moselle,Lutte ouvrière,"6,43%"
518,Robert Hue,moselle,Parti communiste,"5,73%"
519,Philippe de Villiers,moselle,"
								MPF								","3,57%"
520,Dominique Voynet,moselle,Les Verts,"3,10%"
521,Jacques Cheminade,moselle,"
								Nouvelle solidarité								","0,29%"
522,Lionel Jospin,nievre,Parti socialiste,"30,03%"
523,Jacques Chirac,nievre,rpr,"18,04%"
524,Edouard Balladur,nievre,UDF,"15,81%"
525,Robert Hue,nievre,Parti communiste,"12,65%"
526,Jean-Marie Le Pen,nievre,Front national,"11,88%"
527,Arlette Laguiller,nievre,Lutte ouvrière,"4,49%"
528,Philippe de Villiers,nievre,"
								MPF								","4,22%"
529,Dominique Voynet,nievre,Les Verts,"2,62%"
530,Jacques Cheminade,nievre,"
								Nouvelle solidarité								","0,27%"
531,Lionel Jospin,nord,Parti socialiste,"23,23%"
532,Jean-Marie Le Pen,nord,Front national,"18,18%"
533,Edouard Balladur,nord,UDF,"17,53%"
534,Jacques Chirac,nord,rpr,"16,85%"
535,Robert Hue,nord,Parti communiste,"11,92%"
536,Arlette Laguiller,nord,Lutte ouvrière,"5,63%"
537,Philippe de Villiers,nord,"
								MPF								","4,04%"
538,Dominique Voynet,nord,Les Verts,"2,38%"
539,Jacques Cheminade,nord,"
								Nouvelle solidarité								","0,24%"
540,Lionel Jospin,oise,Parti socialiste,"20,81%"
541,Jean-Marie Le Pen,oise,Front national,"20,48%"
542,Jacques Chirac,oise,rpr,"19,70%"
543,Edouard Balladur,oise,UDF,"16,00%"
544,Robert Hue,oise,Parti communiste,"9,15%"
545,Arlette Laguiller,oise,Lutte ouvrière,"6,00%"
546,Philippe de Villiers,oise,"
								MPF								","4,60%"
547,Dominique Voynet,oise,Les Verts,"2,97%"
548,Jacques Cheminade,oise,"
								Nouvelle solidarité								","0,29%"
549,Jacques Chirac,orne,rpr,"23,18%"
550,Edouard Balladur,orne,UDF,"21,58%"
551,Lionel Jospin,orne,Parti socialiste,"19,81%"
552,Jean-Marie Le Pen,orne,Front national,"14,81%"
553,Philippe de Villiers,orne,"
								MPF								","5,92%"
554,Robert Hue,orne,Parti communiste,"5,64%"
555,Arlette Laguiller,orne,Lutte ouvrière,"5,30%"
556,Dominique Voynet,orne,Les Verts,"3,45%"
557,Jacques Cheminade,orne,"
								Nouvelle solidarité								","0,31%"
558,Lionel Jospin,pas-de-calais,Parti socialiste,"25,18%"
559,Jacques Chirac,pas-de-calais,rpr,"16,91%"
560,Edouard Balladur,pas-de-calais,UDF,"15,97%"
561,Jean-Marie Le Pen,pas-de-calais,Front national,"15,21%"
562,Robert Hue,pas-de-calais,Parti communiste,"13,91%"
563,Arlette Laguiller,pas-de-calais,Lutte ouvrière,"6,16%"
564,Philippe de Villiers,pas-de-calais,"
								MPF								","4,26%"
565,Dominique Voynet,pas-de-calais,Les Verts,"2,16%"
566,Jacques Cheminade,pas-de-calais,"
								Nouvelle solidarité								","0,25%"
567,Lionel Jospin,puy-de-dome,Parti socialiste,"25,38%"
568,Jacques Chirac,puy-de-dome,rpr,"22,48%"
569,Edouard Balladur,puy-de-dome,UDF,"16,79%"
570,Jean-Marie Le Pen,puy-de-dome,Front national,"11,00%"
571,Robert Hue,puy-de-dome,Parti communiste,"9,55%"
572,Arlette Laguiller,puy-de-dome,Lutte ouvrière,"6,92%"
573,Philippe de Villiers,puy-de-dome,"
								MPF								","4,12%"
574,Dominique Voynet,puy-de-dome,Les Verts,"3,46%"
575,Jacques Cheminade,puy-de-dome,"
								Nouvelle solidarité								","0,30%"
576,Lionel Jospin,pyrenees-atlantiques,Parti socialiste,"25,59%"
577,Jacques Chirac,pyrenees-atlantiques,rpr,"23,04%"
578,Edouard Balladur,pyrenees-atlantiques,UDF,"21,16%"
579,Jean-Marie Le Pen,pyrenees-atlantiques,Front national,"9,61%"
580,Robert Hue,pyrenees-atlantiques,Parti communiste,"7,10%"
581,Arlette Laguiller,pyrenees-atlantiques,Lutte ouvrière,"5,58%"
582,Philippe de Villiers,pyrenees-atlantiques,"
								MPF								","3,99%"
583,Dominique Voynet,pyrenees-atlantiques,Les Verts,"3,65%"
584,Jacques Cheminade,pyrenees-atlantiques,"
								Nouvelle solidarité								","0,28%"
585,Lionel Jospin,hautes-pyrenees,Parti socialiste,"28,34%"
586,Jacques Chirac,hautes-pyrenees,rpr,"20,02%"
587,Edouard Balladur,hautes-pyrenees,UDF,"17,60%"
588,Robert Hue,hautes-pyrenees,Parti communiste,"12,11%"
589,Jean-Marie Le Pen,hautes-pyrenees,Front national,"9,38%"
590,Arlette Laguiller,hautes-pyrenees,Lutte ouvrière,"5,30%"
591,Philippe de Villiers,hautes-pyrenees,"
								MPF								","3,78%"
592,Dominique Voynet,hautes-pyrenees,Les Verts,"3,18%"
593,Jacques Cheminade,hautes-pyrenees,"
								Nouvelle solidarité								","0,30%"
594,Lionel Jospin,pyrenees-orientales,Parti socialiste,"23,03%"
595,Jean-Marie Le Pen,pyrenees-orientales,Front national,"19,45%"
596,Jacques Chirac,pyrenees-orientales,rpr,"19,01%"
597,Edouard Balladur,pyrenees-orientales,UDF,"15,71%"
598,Robert Hue,pyrenees-orientales,Parti communiste,"10,64%"
599,Arlette Laguiller,pyrenees-orientales,Lutte ouvrière,"4,88%"
600,Philippe de Villiers,pyrenees-orientales,"
								MPF								","4,36%"
601,Dominique Voynet,pyrenees-orientales,Les Verts,"2,71%"
602,Jacques Cheminade,pyrenees-orientales,"
								Nouvelle solidarité								","0,22%"
603,Jean-Marie Le Pen,bas-rhin,Front national,"25,83%"
604,Edouard Balladur,bas-rhin,UDF,"24,73%"
605,Lionel Jospin,bas-rhin,Parti socialiste,"16,72%"
606,Jacques Chirac,bas-rhin,rpr,"16,63%"
607,Arlette Laguiller,bas-rhin,Lutte ouvrière,"4,79%"
608,Philippe de Villiers,bas-rhin,"
								MPF								","4,30%"
609,Dominique Voynet,bas-rhin,Les Verts,"3,82%"
610,Robert Hue,bas-rhin,Parti communiste,"2,86%"
611,Jacques Cheminade,bas-rhin,"
								Nouvelle solidarité								","0,32%"
612,Jean-Marie Le Pen,haut-rhin,Front national,"24,80%"
613,Edouard Balladur,haut-rhin,UDF,"24,24%"
614,Lionel Jospin,haut-rhin,Parti socialiste,"17,09%"
615,Jacques Chirac,haut-rhin,rpr,"16,72%"
616,Arlette Laguiller,haut-rhin,Lutte ouvrière,"5,06%"
617,Philippe de Villiers,haut-rhin,"
								MPF								","4,37%"
618,Dominique Voynet,haut-rhin,Les Verts,"3,84%"
619,Robert Hue,haut-rhin,Parti communiste,"3,56%"
620,Jacques Cheminade,haut-rhin,"
								Nouvelle solidarité								","0,32%"
621,Lionel Jospin,rhone,Parti socialiste,"21,71%"
622,Edouard Balladur,rhone,UDF,"20,65%"
623,Jean-Marie Le Pen,rhone,Front national,"19,14%"
624,Jacques Chirac,rhone,rpr,"18,51%"
625,Robert Hue,rhone,Parti communiste,"6,57%"
626,Arlette Laguiller,rhone,Lutte ouvrière,"5,10%"
627,Philippe de Villiers,rhone,"
								MPF								","4,29%"
628,Dominique Voynet,rhone,Les Verts,"3,79%"
629,Jacques Cheminade,rhone,"
								Nouvelle solidarité								","0,25%"
630,Lionel Jospin,haute-saone,Parti socialiste,"24,95%"
631,Jacques Chirac,haute-saone,rpr,"19,66%"
632,Edouard Balladur,haute-saone,UDF,"18,10%"
633,Jean-Marie Le Pen,haute-saone,Front national,"16,71%"
634,Robert Hue,haute-saone,Parti communiste,"6,55%"
635,Arlette Laguiller,haute-saone,Lutte ouvrière,"5,03%"
636,Philippe de Villiers,haute-saone,"
								MPF								","4,95%"
637,Dominique Voynet,haute-saone,Les Verts,"3,77%"
638,Jacques Cheminade,haute-saone,"
								Nouvelle solidarité								","0,28%"
639,Lionel Jospin,saone-et-loire,Parti socialiste,"24,88%"
640,Jacques Chirac,saone-et-loire,rpr,"20,31%"
641,Edouard Balladur,saone-et-loire,UDF,"19,10%"
642,Jean-Marie Le Pen,saone-et-loire,Front national,"13,24%"
643,Robert Hue,saone-et-loire,Parti communiste,"9,13%"
644,Philippe de Villiers,saone-et-loire,"
								MPF								","5,25%"
645,Arlette Laguiller,saone-et-loire,Lutte ouvrière,"4,84%"
646,Dominique Voynet,saone-et-loire,Les Verts,"2,99%"
647,Jacques Cheminade,saone-et-loire,"
								Nouvelle solidarité								","0,27%"
648,Lionel Jospin,sarthe,Parti socialiste,"23,48%"
649,Edouard Balladur,sarthe,UDF,"21,63%"
650,Jacques Chirac,sarthe,rpr,"18,76%"
651,Jean-Marie Le Pen,sarthe,Front national,"11,43%"
652,Robert Hue,sarthe,Parti communiste,"8,67%"
653,Philippe de Villiers,sarthe,"
								MPF								","6,12%"
654,Arlette Laguiller,sarthe,Lutte ouvrière,"5,94%"
655,Dominique Voynet,sarthe,Les Verts,"3,65%"
656,Jacques Cheminade,sarthe,"
								Nouvelle solidarité								","0,32%"
657,Lionel Jospin,savoie,Parti socialiste,"21,33%"
658,Edouard Balladur,savoie,UDF,"20,30%"
659,Jacques Chirac,savoie,rpr,"18,65%"
660,Jean-Marie Le Pen,savoie,Front national,"16,82%"
661,Robert Hue,savoie,Parti communiste,"7,94%"
662,Arlette Laguiller,savoie,Lutte ouvrière,"5,30%"
663,Philippe de Villiers,savoie,"
								MPF								","5,10%"
664,Dominique Voynet,savoie,Les Verts,"4,29%"
665,Jacques Cheminade,savoie,"
								Nouvelle solidarité								","0,27%"
666,Edouard Balladur,haute-savoie,UDF,"24,74%"
667,Jacques Chirac,haute-savoie,rpr,"20,04%"
668,Lionel Jospin,haute-savoie,Parti socialiste,"18,53%"
669,Jean-Marie Le Pen,haute-savoie,Front national,"16,43%"
670,Philippe de Villiers,haute-savoie,"
								MPF								","5,39%"
671,Robert Hue,haute-savoie,Parti communiste,"5,03%"
672,Arlette Laguiller,haute-savoie,Lutte ouvrière,"4,91%"
673,Dominique Voynet,haute-savoie,Les Verts,"4,64%"
674,Jacques Cheminade,haute-savoie,"
								Nouvelle solidarité								","0,29%"
675,Jacques Chirac,paris,rpr,"32,19%"
676,Lionel Jospin,paris,Parti socialiste,"26,02%"
677,Edouard Balladur,paris,UDF,"16,60%"
678,Jean-Marie Le Pen,paris,Front national,"9,25%"
679,Arlette Laguiller,paris,Lutte ouvrière,"4,83%"
680,Robert Hue,paris,Parti communiste,"4,68%"
681,Dominique Voynet,paris,Les Verts,"3,63%"
682,Philippe de Villiers,paris,"
								MPF								","2,60%"
683,Jacques Cheminade,paris,"
								Nouvelle solidarité								","0,20%"
684,Lionel Jospin,seine-maritime,Parti socialiste,"23,65%"
685,Edouard Balladur,seine-maritime,UDF,"18,32%"
686,Jacques Chirac,seine-maritime,rpr,"16,95%"
687,Jean-Marie Le Pen,seine-maritime,Front national,"15,79%"
688,Robert Hue,seine-maritime,Parti communiste,"11,63%"
689,Arlette Laguiller,seine-maritime,Lutte ouvrière,"6,47%"
690,Philippe de Villiers,seine-maritime,"
								MPF								","3,85%"
691,Dominique Voynet,seine-maritime,Les Verts,"3,08%"
692,Jacques Cheminade,seine-maritime,"
								Nouvelle solidarité								","0,26%"
693,Jacques Chirac,seine-et-marne,rpr,"22,76%"
694,Lionel Jospin,seine-et-marne,Parti socialiste,"21,25%"
695,Jean-Marie Le Pen,seine-et-marne,Front national,"18,40%"
696,Edouard Balladur,seine-et-marne,UDF,"15,57%"
697,Robert Hue,seine-et-marne,Parti communiste,"8,24%"
698,Arlette Laguiller,seine-et-marne,Lutte ouvrière,"5,53%"
699,Philippe de Villiers,seine-et-marne,"
								MPF								","4,63%"
700,Dominique Voynet,seine-et-marne,Les Verts,"3,37%"
701,Jacques Cheminade,seine-et-marne,"
								Nouvelle solidarité								","0,25%"
702,Jacques Chirac,yvelines,rpr,"25,95%"
703,Lionel Jospin,yvelines,Parti socialiste,"21,36%"
704,Edouard Balladur,yvelines,UDF,"19,57%"
705,Jean-Marie Le Pen,yvelines,Front national,"13,78%"
706,Robert Hue,yvelines,Parti communiste,"6,36%"
707,Arlette Laguiller,yvelines,Lutte ouvrière,"4,90%"
708,Philippe de Villiers,yvelines,"
								MPF								","4,44%"
709,Dominique Voynet,yvelines,Les Verts,"3,41%"
710,Jacques Cheminade,yvelines,"
								Nouvelle solidarité								","0,23%"
711,Lionel Jospin,deux-sevres,Parti socialiste,"25,53%"
712,Jacques Chirac,deux-sevres,rpr,"21,81%"
713,Edouard Balladur,deux-sevres,UDF,"20,61%"
714,Philippe de Villiers,deux-sevres,"
								MPF								","9,06%"
715,Jean-Marie Le Pen,deux-sevres,Front national,"7,38%"
716,Robert Hue,deux-sevres,Parti communiste,"5,71%"
717,Arlette Laguiller,deux-sevres,Lutte ouvrière,"5,71%"
718,Dominique Voynet,deux-sevres,Les Verts,"3,86%"
719,Jacques Cheminade,deux-sevres,"
								Nouvelle solidarité								","0,33%"
720,Lionel Jospin,somme,Parti socialiste,"22,79%"
721,Jacques Chirac,somme,rpr,"18,85%"
722,Edouard Balladur,somme,UDF,"16,99%"
723,Jean-Marie Le Pen,somme,Front national,"15,24%"
724,Robert Hue,somme,Parti communiste,"12,43%"
725,Arlette Laguiller,somme,Lutte ouvrière,"5,86%"
726,Philippe de Villiers,somme,"
								MPF								","5,13%"
727,Dominique Voynet,somme,Les Verts,"2,43%"
728,Jacques Cheminade,somme,"
								Nouvelle solidarité								","0,28%"
729,Lionel Jospin,tarn,Parti socialiste,"28,17%"
730,Jacques Chirac,tarn,rpr,"19,65%"
731,Edouard Balladur,tarn,UDF,"17,64%"
732,Jean-Marie Le Pen,tarn,Front national,"12,95%"
733,Robert Hue,tarn,Parti communiste,"8,04%"
734,Arlette Laguiller,tarn,Lutte ouvrière,"5,00%"
735,Philippe de Villiers,tarn,"
								MPF								","4,92%"
736,Dominique Voynet,tarn,Les Verts,"3,34%"
737,Jacques Cheminade,tarn,"
								Nouvelle solidarité								","0,30%"
738,Lionel Jospin,tarn-et-garonne,Parti socialiste,"26,11%"
739,Jacques Chirac,tarn-et-garonne,rpr,"19,94%"
740,Edouard Balladur,tarn-et-garonne,UDF,"15,98%"
741,Jean-Marie Le Pen,tarn-et-garonne,Front national,"15,77%"
742,Robert Hue,tarn-et-garonne,Parti communiste,"7,74%"
743,Philippe de Villiers,tarn-et-garonne,"
								MPF								","6,21%"
744,Arlette Laguiller,tarn-et-garonne,Lutte ouvrière,"4,82%"
745,Dominique Voynet,tarn-et-garonne,Les Verts,"3,09%"
746,Jacques Cheminade,tarn-et-garonne,"
								Nouvelle solidarité								","0,33%"
747,Jean-Marie Le Pen,var,Front national,"22,35%"
748,Edouard Balladur,var,UDF,"21,09%"
749,Jacques Chirac,var,rpr,"19,06%"
750,Lionel Jospin,var,Parti socialiste,"17,30%"
751,Robert Hue,var,Parti communiste,"8,24%"
752,Philippe de Villiers,var,"
								MPF								","4,98%"
753,Arlette Laguiller,var,Lutte ouvrière,"4,18%"
754,Dominique Voynet,var,Les Verts,"2,57%"
755,Jacques Cheminade,var,"
								Nouvelle solidarité								","0,22%"
756,Jean-Marie Le Pen,vaucluse,Front national,"23,12%"
757,Lionel Jospin,vaucluse,Parti socialiste,"20,27%"
758,Edouard Balladur,vaucluse,UDF,"17,79%"
759,Jacques Chirac,vaucluse,rpr,"16,67%"
760,Robert Hue,vaucluse,Parti communiste,"8,55%"
761,Philippe de Villiers,vaucluse,"
								MPF								","5,36%"
762,Arlette Laguiller,vaucluse,Lutte ouvrière,"4,67%"
763,Dominique Voynet,vaucluse,Les Verts,"3,30%"
764,Jacques Cheminade,vaucluse,"
								Nouvelle solidarité								","0,27%"
765,Philippe de Villiers,vendee,rpr,"22,02%"
766,Edouard Balladur,vendee,UDF,"20,19%"
767,Lionel Jospin,vendee,Parti socialiste,"19,47%"
768,Jacques Chirac,vendee,rpr,"18,20%"
769,Jean-Marie Le Pen,vendee,Front national,"7,30%"
770,Robert Hue,vendee,Parti communiste,"4,75%"
771,Arlette Laguiller,vendee,Lutte ouvrière,"4,52%"
772,Dominique Voynet,vendee,Les Verts,"3,26%"
773,Jacques Cheminade,vendee,"
								Nouvelle solidarité								","0,28%"
774,Lionel Jospin,vienne,Parti socialiste,"25,41%"
775,Jacques Chirac,vienne,rpr,"21,82%"
776,Edouard Balladur,vienne,UDF,"18,27%"
777,Jean-Marie Le Pen,vienne,Front national,"10,49%"
778,Robert Hue,vienne,Parti communiste,"8,26%"
779,Philippe de Villiers,vienne,"
								MPF								","6,15%"
780,Arlette Laguiller,vienne,Lutte ouvrière,"5,39%"
781,Dominique Voynet,vienne,Les Verts,"3,89%"
782,Jacques Cheminade,vienne,"
								Nouvelle solidarité								","0,32%"
783,Jacques Chirac,haute-vienne,rpr,"28,80%"
784,Lionel Jospin,haute-vienne,Parti socialiste,"27,41%"
785,Robert Hue,haute-vienne,Parti communiste,"13,76%"
786,Edouard Balladur,haute-vienne,UDF,"10,72%"
787,Jean-Marie Le Pen,haute-vienne,Front national,"7,57%"
788,Arlette Laguiller,haute-vienne,Lutte ouvrière,"4,97%"
789,Philippe de Villiers,haute-vienne,"
								MPF								","3,36%"
790,Dominique Voynet,haute-vienne,Les Verts,"3,15%"
791,Jacques Cheminade,haute-vienne,"
								Nouvelle solidarité								","0,26%"
792,Lionel Jospin,vosges,Parti socialiste,"22,01%"
793,Jean-Marie Le Pen,vosges,Front national,"19,98%"
794,Jacques Chirac,vosges,rpr,"19,78%"
795,Edouard Balladur,vosges,UDF,"17,99%"
796,Robert Hue,vosges,Parti communiste,"5,70%"
797,Arlette Laguiller,vosges,Lutte ouvrière,"5,54%"
798,Philippe de Villiers,vosges,"
								MPF								","5,14%"
799,Dominique Voynet,vosges,Les Verts,"3,53%"
800,Jacques Cheminade,vosges,"
								Nouvelle solidarité								","0,33%"
801,Lionel Jospin,yonne,Parti socialiste,"20,79%"
802,Jacques Chirac,yonne,rpr,"20,23%"
803,Edouard Balladur,yonne,UDF,"19,08%"
804,Jean-Marie Le Pen,yonne,Front national,"17,04%"
805,Robert Hue,yonne,Parti communiste,"8,17%"
806,Philippe de Villiers,yonne,"
								MPF								","5,99%"
807,Arlette Laguiller,yonne,Lutte ouvrière,"4,95%"
808,Dominique Voynet,yonne,Les Verts,"3,43%"
809,Jacques Cheminade,yonne,"
								Nouvelle solidarité								","0,31%"
810,Lionel Jospin,territoire-de-belfort,Parti socialiste,"25,80%"
811,Jean-Marie Le Pen,territoire-de-belfort,Front national,"18,75%"
812,Jacques Chirac,territoire-de-belfort,rpr,"18,15%"
813,Edouard Balladur,territoire-de-belfort,UDF,"15,44%"
814,Robert Hue,territoire-de-belfort,Parti communiste,"7,36%"
815,Arlette Laguiller,territoire-de-belfort,Lutte ouvrière,"6,09%"
816,Dominique Voynet,territoire-de-belfort,Les Verts,"4,53%"
817,Philippe de Villiers,territoire-de-belfort,"
								MPF								","3,66%"
818,Jacques Cheminade,territoire-de-belfort,"
								Nouvelle solidarité								","0,22%"
819,Lionel Jospin,essonne,Parti socialiste,"24,13%"
820,Jacques Chirac,essonne,rpr,"22,79%"
821,Edouard Balladur,essonne,UDF,"15,55%"
822,Jean-Marie Le Pen,essonne,Front national,"14,34%"
823,Robert Hue,essonne,Parti communiste,"9,10%"
824,Arlette Laguiller,essonne,Lutte ouvrière,"6,00%"
825,Philippe de Villiers,essonne,"
								MPF								","3,94%"
826,Dominique Voynet,essonne,Les Verts,"3,91%"
827,Jacques Cheminade,essonne,"
								Nouvelle solidarité								","0,23%"
828,Jacques Chirac,hauts-de-seine,rpr,"26,53%"
829,Lionel Jospin,hauts-de-seine,Parti socialiste,"23,01%"
830,Edouard Balladur,hauts-de-seine,UDF,"19,22%"
831,Jean-Marie Le Pen,hauts-de-seine,Front national,"11,70%"
832,Robert Hue,hauts-de-seine,Parti communiste,"7,97%"
833,Arlette Laguiller,hauts-de-seine,Lutte ouvrière,"4,72%"
834,Philippe de Villiers,hauts-de-seine,"
								MPF								","3,37%"
835,Dominique Voynet,hauts-de-seine,Les Verts,"3,27%"
836,Jacques Cheminade,hauts-de-seine,"
								Nouvelle solidarité								","0,22%"
837,Lionel Jospin,seine-saint-denis,Parti socialiste,"23,39%"
838,Jacques Chirac,seine-saint-denis,rpr,"19,90%"
839,Jean-Marie Le Pen,seine-saint-denis,Front national,"18,78%"
840,Robert Hue,seine-saint-denis,Parti communiste,"14,09%"
841,Edouard Balladur,seine-saint-denis,UDF,"11,79%"
842,Arlette Laguiller,seine-saint-denis,Lutte ouvrière,"5,79%"
843,Dominique Voynet,seine-saint-denis,Les Verts,"3,15%"
844,Philippe de Villiers,seine-saint-denis,"
								MPF								","2,87%"
845,Jacques Cheminade,seine-saint-denis,"
								Nouvelle solidarité								","0,23%"
846,Lionel Jospin,val-de-marne,Parti socialiste,"23,64%"
847,Jacques Chirac,val-de-marne,rpr,"23,40%"
848,Edouard Balladur,val-de-marne,UDF,"14,94%"
849,Jean-Marie Le Pen,val-de-marne,Front national,"13,33%"
850,Robert Hue,val-de-marne,Parti communiste,"12,59%"
851,Arlette Laguiller,val-de-marne,Lutte ouvrière,"5,25%"
852,Dominique Voynet,val-de-marne,Les Verts,"3,44%"
853,Philippe de Villiers,val-de-marne,"
								MPF								","3,20%"
854,Jacques Cheminade,val-de-marne,"
								Nouvelle solidarité								","0,21%"
855,Lionel Jospin,val-d-oise,Parti socialiste,"22,23%"
856,Jacques Chirac,val-d-oise,rpr,"22,05%"
857,Jean-Marie Le Pen,val-d-oise,Front national,"17,50%"
858,Edouard Balladur,val-d-oise,UDF,"14,90%"
859,Robert Hue,val-d-oise,Parti communiste,"10,65%"
860,Arlette Laguiller,val-d-oise,Lutte ouvrière,"5,36%"
861,Philippe de Villiers,val-d-oise,"
								MPF								","3,78%"
862,Dominique Voynet,val-d-oise,Les Verts,"3,28%"
863,Jacques Cheminade,val-d-oise,"
								Nouvelle solidarité								","0,25%"
864,Jacques Chirac,guadeloupe,rpr,"38,24%"
865,Lionel Jospin,guadeloupe,Parti socialiste,"35,13%"
866,Edouard Balladur,guadeloupe,UDF,"14,55%"
867,Robert Hue,guadeloupe,Parti communiste,"3,57%"
868,Jean-Marie Le Pen,guadeloupe,Front national,"3,06%"
869,Arlette Laguiller,guadeloupe,Lutte ouvrière,"2,25%"
870,Dominique Voynet,guadeloupe,Les Verts,"1,35%"
871,Jacques Cheminade,guadeloupe,"
								Nouvelle solidarité								","0,95%"
872,Philippe de Villiers,guadeloupe,"
								MPF								","0,91%"
873,Lionel Jospin,martinique,Parti socialiste,"36,40%"
874,Jacques Chirac,martinique,rpr,"29,14%"
875,Edouard Balladur,martinique,UDF,"23,59%"
876,Robert Hue,martinique,Parti communiste,"3,54%"
877,Arlette Laguiller,martinique,Lutte ouvrière,"2,67%"
878,Jean-Marie Le Pen,martinique,Front national,"1,65%"
879,Dominique Voynet,martinique,Les Verts,"1,27%"
880,Philippe de Villiers,martinique,"
								MPF								","0,90%"
881,Jacques Cheminade,martinique,"
								Nouvelle solidarité								","0,85%"
882,Jacques Chirac,guyane,rpr,"39,84%"
883,Lionel Jospin,guyane,Parti socialiste,"24,15%"
884,Edouard Balladur,guyane,UDF,"16,88%"
885,Jean-Marie Le Pen,guyane,Front national,"8,08%"
886,Arlette Laguiller,guyane,Lutte ouvrière,"3,76%"
887,Dominique Voynet,guyane,Les Verts,"2,63%"
888,Robert Hue,guyane,Parti communiste,"1,90%"
889,Philippe de Villiers,guyane,"
								MPF								","1,87%"
890,Jacques Cheminade,guyane,"
								Nouvelle solidarité								","0,90%"
891,Jacques Chirac,la-reunion,rpr,"35,16%"
892,Lionel Jospin,la-reunion,Parti socialiste,"29,99%"
893,Edouard Balladur,la-reunion,UDF,"13,55%"
