,Candidat,Departement,Parti,Score
504,Nicolas Sarkozy,loire,UMP,"29,67%"
505,Ségolène Royal,loire,PS,"23,82%"
506,François Bayrou,loire,UDF,"19,97%"
507,Jean-Marie Le Pen,loire,FN,"11,96%"
508,Olivier Besancenot,loire,LCR,"4,18%"
509,Philippe de Villiers,loire,MPF,"2,67%"
510,Marie-George Buffet,loire,PCF,"1,96%"
511,Dominique Voynet,loire,Les Verts,"1,60%"
512,Arlette Laguiller,loire,LO,"1,39%"
513,José Bové,loire,DIV,"1,38%"
514,Frédéric Nihous,loire,CPNT,"1,02%"
515,Gérard Schivardi,loire,PT,"0,38%"
516,Nicolas Sarkozy,haute-loire,UMP,"28,80%"
517,Ségolène Royal,haute-loire,PS,"22,58%"
518,François Bayrou,haute-loire,UDF,"21,31%"
519,Jean-Marie Le Pen,haute-loire,FN,"11,70%"
520,Olivier Besancenot,haute-loire,LCR,"4,72%"
521,Philippe de Villiers,haute-loire,MPF,"2,53%"
522,José Bové,haute-loire,DIV,"1,78%"
523,Frédéric Nihous,haute-loire,CPNT,"1,57%"
524,Dominique Voynet,haute-loire,Les Verts,"1,51%"
525,Marie-George Buffet,haute-loire,PCF,"1,46%"
526,Arlette Laguiller,haute-loire,LO,"1,43%"
527,Gérard Schivardi,haute-loire,PT,"0,61%"
528,Ségolène Royal,loire-atlantique,PS,"29,77%"
529,Nicolas Sarkozy,loire-atlantique,UMP,"28,01%"
530,François Bayrou,loire-atlantique,UDF,"20,82%"
531,Jean-Marie Le Pen,loire-atlantique,FN,"6,56%"
532,Olivier Besancenot,loire-atlantique,LCR,"4,38%"
533,Philippe de Villiers,loire-atlantique,MPF,"3,12%"
534,Dominique Voynet,loire-atlantique,Les Verts,"1,90%"
535,Marie-George Buffet,loire-atlantique,PCF,"1,39%"
536,José Bové,loire-atlantique,DIV,"1,29%"
537,Arlette Laguiller,loire-atlantique,LO,"1,25%"
538,Frédéric Nihous,loire-atlantique,CPNT,"1,23%"
539,Gérard Schivardi,loire-atlantique,PT,"0,28%"
540,Nicolas Sarkozy,loiret,UMP,"33,66%"
541,Ségolène Royal,loiret,PS,"22,49%"
542,François Bayrou,loiret,UDF,"18,15%"
543,Jean-Marie Le Pen,loiret,FN,"11,84%"
544,Olivier Besancenot,loiret,LCR,"3,64%"
545,Philippe de Villiers,loiret,MPF,"2,96%"
546,Marie-George Buffet,loiret,PCF,"1,77%"
547,Dominique Voynet,loiret,Les Verts,"1,61%"
548,Arlette Laguiller,loiret,LO,"1,31%"
549,Frédéric Nihous,loiret,CPNT,"1,22%"
550,José Bové,loiret,DIV,"1,04%"
551,Gérard Schivardi,loiret,PT,"0,31%"
552,Ségolène Royal,lot,PS,"31,98%"
553,Nicolas Sarkozy,lot,UMP,"24,22%"
554,François Bayrou,lot,UDF,"19,92%"
555,Jean-Marie Le Pen,lot,FN,"7,22%"
556,Olivier Besancenot,lot,LCR,"4,46%"
557,José Bové,lot,DIV,"2,60%"
558,Marie-George Buffet,lot,PCF,"2,28%"
559,Frédéric Nihous,lot,CPNT,"2,16%"
560,Philippe de Villiers,lot,MPF,"1,93%"
561,Dominique Voynet,lot,Les Verts,"1,46%"
562,Arlette Laguiller,lot,LO,"1,16%"
563,Gérard Schivardi,lot,PT,"0,61%"
564,Nicolas Sarkozy,lot-et-garonne,UMP,"29,17%"
565,Ségolène Royal,lot-et-garonne,PS,"25,22%"
566,François Bayrou,lot-et-garonne,UDF,"18,47%"
567,Jean-Marie Le Pen,lot-et-garonne,FN,"12,50%"
568,Olivier Besancenot,lot-et-garonne,LCR,"3,86%"
569,Philippe de Villiers,lot-et-garonne,MPF,"2,28%"
570,Marie-George Buffet,lot-et-garonne,PCF,"2,21%"
571,Frédéric Nihous,lot-et-garonne,CPNT,"1,91%"
572,José Bové,lot-et-garonne,DIV,"1,60%"
573,Dominique Voynet,lot-et-garonne,Les Verts,"1,26%"
574,Arlette Laguiller,lot-et-garonne,LO,"1,06%"
575,Gérard Schivardi,lot-et-garonne,PT,"0,45%"
576,Nicolas Sarkozy,lozere,UMP,"31,81%"
577,Ségolène Royal,lozere,PS,"22,72%"
578,François Bayrou,lozere,UDF,"21,09%"
579,Jean-Marie Le Pen,lozere,FN,"9,44%"
580,Olivier Besancenot,lozere,LCR,"3,90%"
581,José Bové,lozere,DIV,"2,43%"
582,Frédéric Nihous,lozere,CPNT,"2,05%"
583,Philippe de Villiers,lozere,MPF,"1,95%"
584,Marie-George Buffet,lozere,PCF,"1,67%"
585,Dominique Voynet,lozere,Les Verts,"1,39%"
586,Arlette Laguiller,lozere,LO,"1,02%"
587,Gérard Schivardi,lozere,PT,"0,53%"
588,Nicolas Sarkozy,maine-et-loire,UMP,"30,97%"
589,Ségolène Royal,maine-et-loire,PS,"23,24%"
590,François Bayrou,maine-et-loire,UDF,"23,20%"
591,Jean-Marie Le Pen,maine-et-loire,FN,"7,12%"
592,Philippe de Villiers,maine-et-loire,MPF,"4,37%"
593,Olivier Besancenot,maine-et-loire,LCR,"4,23%"
594,Dominique Voynet,maine-et-loire,Les Verts,"1,86%"
595,Arlette Laguiller,maine-et-loire,LO,"1,38%"
596,José Bové,maine-et-loire,DIV,"1,16%"
597,Frédéric Nihous,maine-et-loire,CPNT,"1,12%"
598,Marie-George Buffet,maine-et-loire,PCF,"1,05%"
599,Gérard Schivardi,maine-et-loire,PT,"0,31%"
600,Nicolas Sarkozy,manche,UMP,"32,06%"
601,Ségolène Royal,manche,PS,"21,50%"
602,François Bayrou,manche,UDF,"20,92%"
603,Jean-Marie Le Pen,manche,FN,"9,19%"
604,Olivier Besancenot,manche,LCR,"4,50%"
605,Philippe de Villiers,manche,MPF,"2,80%"
606,Frédéric Nihous,manche,CPNT,"2,77%"
607,Arlette Laguiller,manche,LO,"1,63%"
608,José Bové,manche,DIV,"1,56%"
609,Dominique Voynet,manche,Les Verts,"1,49%"
610,Marie-George Buffet,manche,PCF,"1,20%"
611,Gérard Schivardi,manche,PT,"0,38%"
612,Nicolas Sarkozy,marne,UMP,"33,75%"
613,Ségolène Royal,marne,PS,"20,72%"
614,François Bayrou,marne,UDF,"17,79%"
615,Jean-Marie Le Pen,marne,FN,"13,86%"
616,Olivier Besancenot,marne,LCR,"4,27%"
617,Philippe de Villiers,marne,MPF,"2,58%"
618,Arlette Laguiller,marne,LO,"1,78%"
619,Marie-George Buffet,marne,PCF,"1,62%"
620,Dominique Voynet,marne,Les Verts,"1,53%"
621,Frédéric Nihous,marne,CPNT,"0,95%"
622,José Bové,marne,DIV,"0,89%"
623,Gérard Schivardi,marne,PT,"0,27%"
624,Nicolas Sarkozy,haute-marne,UMP,"31,71%"
625,Ségolène Royal,haute-marne,PS,"20,47%"
626,Jean-Marie Le Pen,haute-marne,FN,"17,00%"
627,François Bayrou,haute-marne,UDF,"15,44%"
628,Olivier Besancenot,haute-marne,LCR,"4,70%"
629,Philippe de Villiers,haute-marne,MPF,"2,92%"
630,Arlette Laguiller,haute-marne,LO,"1,79%"
631,Frédéric Nihous,haute-marne,CPNT,"1,53%"
632,Dominique Voynet,haute-marne,Les Verts,"1,43%"
633,Marie-George Buffet,haute-marne,PCF,"1,39%"
634,José Bové,haute-marne,DIV,"1,24%"
635,Gérard Schivardi,haute-marne,PT,"0,37%"
636,Nicolas Sarkozy,mayenne,UMP,"32,12%"
637,François Bayrou,mayenne,UDF,"23,59%"
638,Ségolène Royal,mayenne,PS,"22,63%"
639,Jean-Marie Le Pen,mayenne,FN,"7,56%"
640,Olivier Besancenot,mayenne,LCR,"4,11%"
641,Philippe de Villiers,mayenne,MPF,"3,19%"
642,Dominique Voynet,mayenne,Les Verts,"1,88%"
643,José Bové,mayenne,DIV,"1,33%"
644,Arlette Laguiller,mayenne,LO,"1,27%"
645,Frédéric Nihous,mayenne,CPNT,"1,15%"
646,Marie-George Buffet,mayenne,PCF,"0,89%"
647,Gérard Schivardi,mayenne,PT,"0,27%"
648,Nicolas Sarkozy,meurthe-et-moselle,UMP,"28,46%"
649,Ségolène Royal,meurthe-et-moselle,PS,"25,52%"
650,François Bayrou,meurthe-et-moselle,UDF,"18,27%"
651,Jean-Marie Le Pen,meurthe-et-moselle,FN,"12,57%"
652,Olivier Besancenot,meurthe-et-moselle,LCR,"5,43%"
653,Marie-George Buffet,meurthe-et-moselle,PCF,"2,15%"
654,Philippe de Villiers,meurthe-et-moselle,MPF,"1,96%"
655,Arlette Laguiller,meurthe-et-moselle,LO,"1,90%"
656,Dominique Voynet,meurthe-et-moselle,Les Verts,"1,58%"
657,José Bové,meurthe-et-moselle,DIV,"1,16%"
658,Frédéric Nihous,meurthe-et-moselle,CPNT,"0,69%"
659,Gérard Schivardi,meurthe-et-moselle,PT,"0,30%"
660,Nicolas Sarkozy,meuse,UMP,"29,98%"
661,Ségolène Royal,meuse,PS,"21,13%"
662,François Bayrou,meuse,UDF,"17,56%"
663,Jean-Marie Le Pen,meuse,FN,"16,32%"
664,Olivier Besancenot,meuse,LCR,"5,00%"
665,Philippe de Villiers,meuse,MPF,"2,55%"
666,Arlette Laguiller,meuse,LO,"1,75%"
667,Dominique Voynet,meuse,Les Verts,"1,51%"
668,Frédéric Nihous,meuse,CPNT,"1,42%"
669,José Bové,meuse,DIV,"1,27%"
670,Marie-George Buffet,meuse,PCF,"1,18%"
671,Gérard Schivardi,meuse,PT,"0,33%"
672,Nicolas Sarkozy,morbihan,UMP,"29,80%"
673,Ségolène Royal,morbihan,PS,"25,13%"
674,François Bayrou,morbihan,UDF,"21,98%"
675,Jean-Marie Le Pen,morbihan,FN,"9,02%"
676,Olivier Besancenot,morbihan,LCR,"4,27%"
677,Philippe de Villiers,morbihan,MPF,"2,31%"
678,Dominique Voynet,morbihan,Les Verts,"1,94%"
679,Marie-George Buffet,morbihan,PCF,"1,57%"
680,José Bové,morbihan,DIV,"1,40%"
681,Arlette Laguiller,morbihan,LO,"1,21%"
682,Frédéric Nihous,morbihan,CPNT,"1,13%"
683,Gérard Schivardi,morbihan,PT,"0,23%"
684,Nicolas Sarkozy,moselle,UMP,"30,57%"
685,Ségolène Royal,moselle,PS,"22,08%"
686,François Bayrou,moselle,UDF,"18,82%"
687,Jean-Marie Le Pen,moselle,FN,"14,81%"
688,Olivier Besancenot,moselle,LCR,"5,19%"
689,Philippe de Villiers,moselle,MPF,"2,02%"
690,Arlette Laguiller,moselle,LO,"1,92%"
691,Dominique Voynet,moselle,Les Verts,"1,59%"
692,Marie-George Buffet,moselle,PCF,"1,09%"
693,José Bové,moselle,DIV,"1,05%"
694,Frédéric Nihous,moselle,CPNT,"0,57%"
695,Gérard Schivardi,moselle,PT,"0,28%"
696,Ségolène Royal,nievre,PS,"29,35%"
697,Nicolas Sarkozy,nievre,UMP,"26,31%"
698,François Bayrou,nievre,UDF,"15,44%"
699,Jean-Marie Le Pen,nievre,FN,"11,98%"
700,Olivier Besancenot,nievre,LCR,"5,06%"
701,Marie-George Buffet,nievre,PCF,"3,21%"
702,Philippe de Villiers,nievre,MPF,"2,52%"
703,Arlette Laguiller,nievre,LO,"1,66%"
704,Frédéric Nihous,nievre,CPNT,"1,46%"
705,Dominique Voynet,nievre,Les Verts,"1,33%"
706,José Bové,nievre,DIV,"1,30%"
707,Gérard Schivardi,nievre,PT,"0,39%"
708,Nicolas Sarkozy,nord,UMP,"29,30%"
709,Ségolène Royal,nord,PS,"24,83%"
710,François Bayrou,nord,UDF,"15,64%"
711,Jean-Marie Le Pen,nord,FN,"13,83%"
712,Olivier Besancenot,nord,LCR,"5,20%"
713,Marie-George Buffet,nord,PCF,"3,09%"
714,Arlette Laguiller,nord,LO,"2,09%"
715,Philippe de Villiers,nord,MPF,"1,70%"
716,Frédéric Nihous,nord,CPNT,"1,57%"
717,Dominique Voynet,nord,Les Verts,"1,45%"
718,José Bové,nord,DIV,"1,07%"
719,Gérard Schivardi,nord,PT,"0,24%"
720,Nicolas Sarkozy,oise,UMP,"32,90%"
721,Ségolène Royal,oise,PS,"21,31%"
722,François Bayrou,oise,UDF,"15,95%"
723,Jean-Marie Le Pen,oise,FN,"14,93%"
724,Olivier Besancenot,oise,LCR,"4,66%"
725,Philippe de Villiers,oise,MPF,"2,52%"
726,Arlette Laguiller,oise,LO,"1,91%"
727,Marie-George Buffet,oise,PCF,"1,86%"
728,Dominique Voynet,oise,Les Verts,"1,48%"
729,Frédéric Nihous,oise,CPNT,"1,09%"
730,José Bové,oise,DIV,"1,07%"
731,Gérard Schivardi,oise,PT,"0,33%"
732,Nicolas Sarkozy,orne,UMP,"32,33%"
733,Ségolène Royal,orne,PS,"20,64%"
734,François Bayrou,orne,UDF,"19,05%"
735,Jean-Marie Le Pen,orne,FN,"12,28%"
736,Olivier Besancenot,orne,LCR,"4,49%"
737,Philippe de Villiers,orne,MPF,"3,55%"
738,Frédéric Nihous,orne,CPNT,"1,66%"
739,Dominique Voynet,orne,Les Verts,"1,57%"
740,Arlette Laguiller,orne,LO,"1,54%"
741,José Bové,orne,DIV,"1,44%"
742,Marie-George Buffet,orne,PCF,"1,09%"
743,Gérard Schivardi,orne,PT,"0,35%"
744,Nicolas Sarkozy,pas-de-calais,UMP,"25,68%"
745,Ségolène Royal,pas-de-calais,PS,"25,34%"
746,Jean-Marie Le Pen,pas-de-calais,FN,"16,02%"
747,François Bayrou,pas-de-calais,UDF,"13,65%"
748,Olivier Besancenot,pas-de-calais,LCR,"6,21%"
749,Marie-George Buffet,pas-de-calais,PCF,"3,46%"
750,Arlette Laguiller,pas-de-calais,LO,"2,64%"
751,Frédéric Nihous,pas-de-calais,CPNT,"2,45%"
752,Philippe de Villiers,pas-de-calais,MPF,"1,90%"
753,Dominique Voynet,pas-de-calais,Les Verts,"1,24%"
754,José Bové,pas-de-calais,DIV,"1,08%"
755,Gérard Schivardi,pas-de-calais,PT,"0,33%"
756,Ségolène Royal,puy-de-dome,PS,"29,32%"
757,Nicolas Sarkozy,puy-de-dome,UMP,"26,28%"
758,François Bayrou,puy-de-dome,UDF,"20,33%"
759,Jean-Marie Le Pen,puy-de-dome,FN,"8,20%"
760,Olivier Besancenot,puy-de-dome,LCR,"5,14%"
761,Marie-George Buffet,puy-de-dome,PCF,"2,20%"
762,Philippe de Villiers,puy-de-dome,MPF,"1,99%"
763,José Bové,puy-de-dome,DIV,"1,75%"
764,Arlette Laguiller,puy-de-dome,LO,"1,62%"
765,Dominique Voynet,puy-de-dome,Les Verts,"1,52%"
766,Frédéric Nihous,puy-de-dome,CPNT,"1,18%"
767,Gérard Schivardi,puy-de-dome,PT,"0,48%"
768,François Bayrou,pyrenees-atlantiques,UDF,"29,61%"
769,Ségolène Royal,pyrenees-atlantiques,PS,"26,31%"
770,Nicolas Sarkozy,pyrenees-atlantiques,UMP,"24,93%"
771,Jean-Marie Le Pen,pyrenees-atlantiques,FN,"6,16%"
772,Olivier Besancenot,pyrenees-atlantiques,LCR,"3,90%"
773,Marie-George Buffet,pyrenees-atlantiques,PCF,"1,67%"
774,Frédéric Nihous,pyrenees-atlantiques,CPNT,"1,66%"
775,José Bové,pyrenees-atlantiques,DIV,"1,65%"
776,Dominique Voynet,pyrenees-atlantiques,Les Verts,"1,62%"
777,Philippe de Villiers,pyrenees-atlantiques,MPF,"1,25%"
778,Arlette Laguiller,pyrenees-atlantiques,LO,"0,93%"
779,Gérard Schivardi,pyrenees-atlantiques,PT,"0,31%"
780,Ségolène Royal,hautes-pyrenees,PS,"30,88%"
781,François Bayrou,hautes-pyrenees,UDF,"23,41%"
782,Nicolas Sarkozy,hautes-pyrenees,UMP,"22,76%"
783,Jean-Marie Le Pen,hautes-pyrenees,FN,"7,71%"
784,Olivier Besancenot,hautes-pyrenees,LCR,"4,46%"
785,Marie-George Buffet,hautes-pyrenees,PCF,"3,11%"
786,Frédéric Nihous,hautes-pyrenees,CPNT,"1,90%"
787,Philippe de Villiers,hautes-pyrenees,MPF,"1,55%"
788,José Bové,hautes-pyrenees,DIV,"1,45%"
789,Dominique Voynet,hautes-pyrenees,Les Verts,"1,22%"
790,Arlette Laguiller,hautes-pyrenees,LO,"1,08%"
791,Gérard Schivardi,hautes-pyrenees,PT,"0,48%"
792,Nicolas Sarkozy,pyrenees-orientales,UMP,"32,20%"
793,Ségolène Royal,pyrenees-orientales,PS,"24,82%"
794,Jean-Marie Le Pen,pyrenees-orientales,FN,"14,21%"
795,François Bayrou,pyrenees-orientales,UDF,"14,21%"
796,Olivier Besancenot,pyrenees-orientales,LCR,"4,23%"
797,Marie-George Buffet,pyrenees-orientales,PCF,"2,62%"
798,Philippe de Villiers,pyrenees-orientales,MPF,"1,85%"
799,José Bové,pyrenees-orientales,DIV,"1,59%"
800,Dominique Voynet,pyrenees-orientales,Les Verts,"1,28%"
801,Frédéric Nihous,pyrenees-orientales,CPNT,"1,27%"
802,Arlette Laguiller,pyrenees-orientales,LO,"1,14%"
803,Gérard Schivardi,pyrenees-orientales,PT,"0,60%"
804,Nicolas Sarkozy,bas-rhin,UMP,"36,24%"
805,François Bayrou,bas-rhin,UDF,"22,37%"
806,Ségolène Royal,bas-rhin,PS,"17,05%"
807,Jean-Marie Le Pen,bas-rhin,FN,"13,19%"
808,Olivier Besancenot,bas-rhin,LCR,"3,17%"
809,Philippe de Villiers,bas-rhin,MPF,"2,09%"
810,Dominique Voynet,bas-rhin,Les Verts,"2,02%"
811,Arlette Laguiller,bas-rhin,LO,"1,32%"
812,José Bové,bas-rhin,DIV,"1,26%"
813,Marie-George Buffet,bas-rhin,PCF,"0,54%"
814,Frédéric Nihous,bas-rhin,CPNT,"0,49%"
815,Gérard Schivardi,bas-rhin,PT,"0,25%"
816,Nicolas Sarkozy,haut-rhin,UMP,"36,12%"
817,François Bayrou,haut-rhin,UDF,"20,04%"
818,Ségolène Royal,haut-rhin,PS,"17,19%"
819,Jean-Marie Le Pen,haut-rhin,FN,"14,07%"
820,Olivier Besancenot,haut-rhin,LCR,"3,55%"
821,Philippe de Villiers,haut-rhin,MPF,"2,47%"
822,Dominique Voynet,haut-rhin,Les Verts,"2,05%"
823,José Bové,haut-rhin,DIV,"1,54%"
824,Arlette Laguiller,haut-rhin,LO,"1,46%"
825,Marie-George Buffet,haut-rhin,PCF,"0,70%"
826,Frédéric Nihous,haut-rhin,CPNT,"0,54%"
827,Gérard Schivardi,haut-rhin,PT,"0,26%"
828,Nicolas Sarkozy,rhone,UMP,"35,07%"
829,Ségolène Royal,rhone,PS,"23,86%"
830,François Bayrou,rhone,UDF,"20,91%"
831,Jean-Marie Le Pen,rhone,FN,"9,09%"
832,Olivier Besancenot,rhone,LCR,"3,02%"
833,Philippe de Villiers,rhone,MPF,"1,94%"
834,Dominique Voynet,rhone,Les Verts,"1,75%"
835,Marie-George Buffet,rhone,PCF,"1,50%"
836,José Bové,rhone,DIV,"1,16%"
837,Arlette Laguiller,rhone,LO,"0,98%"
838,Frédéric Nihous,rhone,CPNT,"0,48%"
839,Gérard Schivardi,rhone,PT,"0,23%"
840,Nicolas Sarkozy,haute-saone,UMP,"30,44%"
841,Ségolène Royal,haute-saone,PS,"23,47%"
842,Jean-Marie Le Pen,haute-saone,FN,"16,48%"
843,François Bayrou,haute-saone,UDF,"14,57%"
844,Olivier Besancenot,haute-saone,LCR,"4,81%"
845,Philippe de Villiers,haute-saone,MPF,"2,50%"
846,Arlette Laguiller,haute-saone,LO,"1,68%"
847,Dominique Voynet,haute-saone,Les Verts,"1,58%"
848,José Bové,haute-saone,DIV,"1,43%"
849,Frédéric Nihous,haute-saone,CPNT,"1,42%"
850,Marie-George Buffet,haute-saone,PCF,"1,27%"
851,Gérard Schivardi,haute-saone,PT,"0,37%"
852,Nicolas Sarkozy,saone-et-loire,UMP,"29,88%"
853,Ségolène Royal,saone-et-loire,PS,"25,80%"
854,François Bayrou,saone-et-loire,UDF,"18,23%"
855,Jean-Marie Le Pen,saone-et-loire,FN,"11,59%"
856,Olivier Besancenot,saone-et-loire,LCR,"4,48%"
857,Philippe de Villiers,saone-et-loire,MPF,"2,48%"
858,Marie-George Buffet,saone-et-loire,PCF,"1,90%"
859,Arlette Laguiller,saone-et-loire,LO,"1,49%"
860,Frédéric Nihous,saone-et-loire,CPNT,"1,34%"
861,Dominique Voynet,saone-et-loire,Les Verts,"1,26%"
862,José Bové,saone-et-loire,DIV,"1,21%"
863,Gérard Schivardi,saone-et-loire,PT,"0,35%"
864,Nicolas Sarkozy,sarthe,UMP,"29,02%"
865,Ségolène Royal,sarthe,PS,"25,48%"
866,François Bayrou,sarthe,UDF,"18,33%"
867,Jean-Marie Le Pen,sarthe,FN,"10,48%"
868,Olivier Besancenot,sarthe,LCR,"5,35%"
869,Philippe de Villiers,sarthe,MPF,"3,64%"
870,Marie-George Buffet,sarthe,PCF,"1,73%"
871,Dominique Voynet,sarthe,Les Verts,"1,67%"
872,Arlette Laguiller,sarthe,LO,"1,64%"
873,José Bové,sarthe,DIV,"1,31%"
874,Frédéric Nihous,sarthe,CPNT,"0,98%"
875,Gérard Schivardi,sarthe,PT,"0,37%"
876,Nicolas Sarkozy,savoie,UMP,"33,12%"
877,Ségolène Royal,savoie,PS,"21,83%"
878,François Bayrou,savoie,UDF,"20,07%"
879,Jean-Marie Le Pen,savoie,FN,"10,75%"
880,Olivier Besancenot,savoie,LCR,"3,90%"
881,Philippe de Villiers,savoie,MPF,"2,20%"
882,Dominique Voynet,savoie,Les Verts,"2,14%"
883,José Bové,savoie,DIV,"1,85%"
884,Marie-George Buffet,savoie,PCF,"1,83%"
885,Arlette Laguiller,savoie,LO,"1,10%"
886,Frédéric Nihous,savoie,CPNT,"0,88%"
887,Gérard Schivardi,savoie,PT,"0,32%"
888,Nicolas Sarkozy,haute-savoie,UMP,"37,45%"
889,François Bayrou,haute-savoie,UDF,"22,09%"
890,Ségolène Royal,haute-savoie,PS,"18,75%"
891,Jean-Marie Le Pen,haute-savoie,FN,"9,72%"
892,Olivier Besancenot,haute-savoie,LCR,"2,99%"
893,Dominique Voynet,haute-savoie,Les Verts,"2,21%"
894,Philippe de Villiers,haute-savoie,MPF,"2,15%"
895,José Bové,haute-savoie,DIV,"1,76%"
896,Marie-George Buffet,haute-savoie,PCF,"0,95%"
897,Arlette Laguiller,haute-savoie,LO,"0,95%"
898,Frédéric Nihous,haute-savoie,CPNT,"0,71%"
899,Gérard Schivardi,haute-savoie,PT,"0,26%"
900,Nicolas Sarkozy,paris,UMP,"35,07%"
901,Ségolène Royal,paris,PS,"31,75%"
902,François Bayrou,paris,UDF,"20,73%"
903,Jean-Marie Le Pen,paris,FN,"4,58%"
904,Olivier Besancenot,paris,LCR,"2,09%"
905,Dominique Voynet,paris,Les Verts,"1,53%"
906,Marie-George Buffet,paris,PCF,"1,21%"
907,Philippe de Villiers,paris,MPF,"1,10%"
908,José Bové,paris,DIV,"1,03%"
909,Arlette Laguiller,paris,LO,"0,58%"
910,Gérard Schivardi,paris,PT,"0,17%"
911,Frédéric Nihous,paris,CPNT,"0,16%"
912,Nicolas Sarkozy,seine-maritime,UMP,"28,42%"
913,Ségolène Royal,seine-maritime,PS,"25,91%"
914,François Bayrou,seine-maritime,UDF,"17,16%"
915,Jean-Marie Le Pen,seine-maritime,FN,"11,46%"
916,Olivier Besancenot,seine-maritime,LCR,"5,78%"
917,Marie-George Buffet,seine-maritime,PCF,"2,81%"
918,Philippe de Villiers,seine-maritime,MPF,"2,25%"
919,Arlette Laguiller,seine-maritime,LO,"2,01%"
920,Dominique Voynet,seine-maritime,Les Verts,"1,51%"
921,José Bové,seine-maritime,DIV,"1,20%"
922,Frédéric Nihous,seine-maritime,CPNT,"1,15%"
923,Gérard Schivardi,seine-maritime,PT,"0,34%"
924,Nicolas Sarkozy,seine-et-marne,UMP,"33,54%"
925,Ségolène Royal,seine-et-marne,PS,"23,80%"
926,François Bayrou,seine-et-marne,UDF,"18,76%"
927,Jean-Marie Le Pen,seine-et-marne,FN,"11,17%"
928,Olivier Besancenot,seine-et-marne,LCR,"4,02%"
929,Philippe de Villiers,seine-et-marne,MPF,"2,19%"
930,Marie-George Buffet,seine-et-marne,PCF,"1,75%"
931,Dominique Voynet,seine-et-marne,Les Verts,"1,67%"
932,Arlette Laguiller,seine-et-marne,LO,"1,22%"
933,José Bové,seine-et-marne,DIV,"1,00%"
934,Frédéric Nihous,seine-et-marne,CPNT,"0,62%"
935,Gérard Schivardi,seine-et-marne,PT,"0,27%"
936,Nicolas Sarkozy,yvelines,UMP,"37,66%"
937,Ségolène Royal,yvelines,PS,"23,11%"
938,François Bayrou,yvelines,UDF,"21,86%"
939,Jean-Marie Le Pen,yvelines,FN,"7,34%"
940,Olivier Besancenot,yvelines,LCR,"2,77%"
941,Philippe de Villiers,yvelines,MPF,"1,93%"
942,Dominique Voynet,yvelines,Les Verts,"1,64%"
943,Marie-George Buffet,yvelines,PCF,"1,28%"
944,Arlette Laguiller,yvelines,LO,"0,91%"
945,José Bové,yvelines,DIV,"0,87%"
946,Frédéric Nihous,yvelines,CPNT,"0,45%"
947,Gérard Schivardi,yvelines,PT,"0,19%"
948,Ségolène Royal,deux-sevres,PS,"33,89%"
949,Nicolas Sarkozy,deux-sevres,UMP,"26,56%"
950,François Bayrou,deux-sevres,UDF,"18,95%"
951,Jean-Marie Le Pen,deux-sevres,FN,"5,79%"
952,Philippe de Villiers,deux-sevres,MPF,"4,14%"
953,Olivier Besancenot,deux-sevres,LCR,"3,95%"
954,Frédéric Nihous,deux-sevres,CPNT,"1,61%"
955,Dominique Voynet,deux-sevres,Les Verts,"1,54%"
956,Arlette Laguiller,deux-sevres,LO,"1,17%"
957,José Bové,deux-sevres,DIV,"1,11%"
958,Marie-George Buffet,deux-sevres,PCF,"0,97%"
959,Gérard Schivardi,deux-sevres,PT,"0,32%"
960,Nicolas Sarkozy,somme,UMP,"27,73%"
961,Ségolène Royal,somme,PS,"24,89%"
962,Jean-Marie Le Pen,somme,FN,"14,36%"
963,François Bayrou,somme,UDF,"14,29%"
964,Olivier Besancenot,somme,LCR,"5,88%"
965,Frédéric Nihous,somme,CPNT,"3,35%"
966,Arlette Laguiller,somme,LO,"2,42%"
967,Marie-George Buffet,somme,PCF,"2,27%"
968,Philippe de Villiers,somme,MPF,"2,18%"
969,Dominique Voynet,somme,Les Verts,"1,17%"
970,José Bové,somme,DIV,"1,04%"
971,Gérard Schivardi,somme,PT,"0,40%"
972,Ségolène Royal,tarn,PS,"29,30%"
973,Nicolas Sarkozy,tarn,UMP,"26,95%"
974,François Bayrou,tarn,UDF,"18,78%"
975,Jean-Marie Le Pen,tarn,FN,"10,58%"
976,Olivier Besancenot,tarn,LCR,"3,94%"
977,Philippe de Villiers,tarn,MPF,"2,11%"
978,Marie-George Buffet,tarn,PCF,"1,92%"
979,José Bové,tarn,DIV,"1,85%"
980,Frédéric Nihous,tarn,CPNT,"1,46%"
981,Dominique Voynet,tarn,Les Verts,"1,39%"
982,Arlette Laguiller,tarn,LO,"1,16%"
983,Gérard Schivardi,tarn,PT,"0,58%"
984,Nicolas Sarkozy,tarn-et-garonne,UMP,"28,70%"
985,Ségolène Royal,tarn-et-garonne,PS,"26,76%"
986,François Bayrou,tarn-et-garonne,UDF,"17,43%"
987,Jean-Marie Le Pen,tarn-et-garonne,FN,"12,48%"
988,Olivier Besancenot,tarn-et-garonne,LCR,"3,68%"
989,Philippe de Villiers,tarn-et-garonne,MPF,"2,36%"
990,Frédéric Nihous,tarn-et-garonne,CPNT,"2,18%"
991,José Bové,tarn-et-garonne,DIV,"1,83%"
992,Marie-George Buffet,tarn-et-garonne,PCF,"1,59%"
993,Dominique Voynet,tarn-et-garonne,Les Verts,"1,32%"
994,Arlette Laguiller,tarn-et-garonne,LO,"1,11%"
995,Gérard Schivardi,tarn-et-garonne,PT,"0,55%"
