,Candidat,Departement,Parti,Score
466,Pierre Juquin,haute-marne,"
								Communiste rénovateur								","1,42%"
467,Pierre Boussel,haute-marne,"
								Mouvement pour un parti des travailleurs								","0,47%"
468,François Mitterrand,mayenne,PS,"33,64%"
469,Jacques Chirac,mayenne,RPR,"24,13%"
470,Raymond Barre,mayenne,UDF,"23,41%"
471,Jean-Marie Le Pen,mayenne,FN,"8,21%"
472,Antoine Waechter,mayenne,Les Verts,"4,06%"
473,Arlette Laguiller,mayenne,LO,"2,28%"
474,André Lajoinie,mayenne,PCF,"2,19%"
475,Pierre Juquin,mayenne,"
								Communiste rénovateur								","1,57%"
476,Pierre Boussel,mayenne,"
								Mouvement pour un parti des travailleurs								","0,52%"
477,François Mitterrand,meurthe-et-moselle,PS,"35,09%"
478,Raymond Barre,meurthe-et-moselle,UDF,"17,98%"
479,Jacques Chirac,meurthe-et-moselle,RPR,"15,63%"
480,Jean-Marie Le Pen,meurthe-et-moselle,FN,"14,85%"
481,André Lajoinie,meurthe-et-moselle,PCF,"6,81%"
482,Antoine Waechter,meurthe-et-moselle,Les Verts,"4,20%"
483,Arlette Laguiller,meurthe-et-moselle,LO,"2,63%"
484,Pierre Juquin,meurthe-et-moselle,"
								Communiste rénovateur								","2,36%"
485,Pierre Boussel,meurthe-et-moselle,"
								Mouvement pour un parti des travailleurs								","0,46%"
486,François Mitterrand,meuse,PS,"35,13%"
487,Raymond Barre,meuse,UDF,"18,42%"
488,Jacques Chirac,meuse,RPR,"18,06%"
489,Jean-Marie Le Pen,meuse,FN,"15,00%"
490,André Lajoinie,meuse,PCF,"4,54%"
491,Antoine Waechter,meuse,Les Verts,"4,48%"
492,Arlette Laguiller,meuse,LO,"2,61%"
493,Pierre Juquin,meuse,"
								Communiste rénovateur								","1,35%"
494,Pierre Boussel,meuse,"
								Mouvement pour un parti des travailleurs								","0,42%"
495,François Mitterrand,morbihan,PS,"34,98%"
496,Jacques Chirac,morbihan,RPR,"19,92%"
497,Raymond Barre,morbihan,UDF,"19,67%"
498,Jean-Marie Le Pen,morbihan,FN,"12,98%"
499,André Lajoinie,morbihan,PCF,"4,36%"
500,Antoine Waechter,morbihan,Les Verts,"3,90%"
501,Arlette Laguiller,morbihan,LO,"2,09%"
502,Pierre Juquin,morbihan,"
								Communiste rénovateur								","1,75%"
503,Pierre Boussel,morbihan,"
								Mouvement pour un parti des travailleurs								","0,34%"
504,François Mitterrand,moselle,PS,"33,34%"
505,Jean-Marie Le Pen,moselle,FN,"19,91%"
506,Raymond Barre,moselle,UDF,"16,67%"
507,Jacques Chirac,moselle,RPR,"16,26%"
508,Antoine Waechter,moselle,Les Verts,"4,82%"
509,André Lajoinie,moselle,PCF,"4,08%"
510,Arlette Laguiller,moselle,LO,"3,05%"
511,Pierre Juquin,moselle,"
								Communiste rénovateur								","1,40%"
512,Pierre Boussel,moselle,"
								Mouvement pour un parti des travailleurs								","0,46%"
513,François Mitterrand,nievre,PS,"44,53%"
514,Jacques Chirac,nievre,RPR,"17,02%"
515,Raymond Barre,nievre,UDF,"12,45%"
516,Jean-Marie Le Pen,nievre,FN,"9,72%"
517,André Lajoinie,nievre,PCF,"9,59%"
518,Antoine Waechter,nievre,Les Verts,"2,80%"
519,Pierre Juquin,nievre,"
								Communiste rénovateur								","1,77%"
520,Arlette Laguiller,nievre,LO,"1,75%"
521,Pierre Boussel,nievre,"
								Mouvement pour un parti des travailleurs								","0,36%"
522,François Mitterrand,nord,PS,"36,74%"
523,Raymond Barre,nord,UDF,"15,59%"
524,Jean-Marie Le Pen,nord,FN,"15,16%"
525,Jacques Chirac,nord,RPR,"15,03%"
526,André Lajoinie,nord,PCF,"10,34%"
527,Antoine Waechter,nord,Les Verts,"2,92%"
528,Arlette Laguiller,nord,LO,"2,30%"
529,Pierre Juquin,nord,"
								Communiste rénovateur								","1,54%"
530,Pierre Boussel,nord,"
								Mouvement pour un parti des travailleurs								","0,38%"
531,François Mitterrand,oise,PS,"36,50%"
532,Jacques Chirac,oise,RPR,"17,74%"
533,Jean-Marie Le Pen,oise,FN,"16,73%"
534,Raymond Barre,oise,UDF,"14,05%"
535,André Lajoinie,oise,PCF,"7,32%"
536,Antoine Waechter,oise,Les Verts,"3,33%"
537,Arlette Laguiller,oise,LO,"2,36%"
538,Pierre Juquin,oise,"
								Communiste rénovateur								","1,57%"
539,Pierre Boussel,oise,"
								Mouvement pour un parti des travailleurs								","0,39%"
540,François Mitterrand,orne,PS,"34,12%"
541,Jacques Chirac,orne,RPR,"23,40%"
542,Raymond Barre,orne,UDF,"19,32%"
543,Jean-Marie Le Pen,orne,FN,"11,79%"
544,Antoine Waechter,orne,Les Verts,"4,01%"
545,André Lajoinie,orne,PCF,"2,98%"
546,Arlette Laguiller,orne,LO,"2,34%"
547,Pierre Juquin,orne,"
								Communiste rénovateur								","1,66%"
548,Pierre Boussel,orne,"
								Mouvement pour un parti des travailleurs								","0,37%"
549,François Mitterrand,pas-de-calais,PS,"41,22%"
550,Jacques Chirac,pas-de-calais,RPR,"14,51%"
551,Raymond Barre,pas-de-calais,UDF,"13,95%"
552,André Lajoinie,pas-de-calais,PCF,"11,58%"
553,Jean-Marie Le Pen,pas-de-calais,FN,"11,40%"
554,Antoine Waechter,pas-de-calais,Les Verts,"2,75%"
555,Arlette Laguiller,pas-de-calais,LO,"2,74%"
556,Pierre Juquin,pas-de-calais,"
								Communiste rénovateur								","1,44%"
557,Pierre Boussel,pas-de-calais,"
								Mouvement pour un parti des travailleurs								","0,41%"
558,François Mitterrand,puy-de-dome,PS,"34,21%"
559,Jacques Chirac,puy-de-dome,RPR,"19,60%"
560,Raymond Barre,puy-de-dome,UDF,"17,46%"
561,Jean-Marie Le Pen,puy-de-dome,FN,"11,58%"
562,André Lajoinie,puy-de-dome,PCF,"7,11%"
563,Antoine Waechter,puy-de-dome,Les Verts,"4,03%"
564,Pierre Juquin,puy-de-dome,"
								Communiste rénovateur								","3,18%"
565,Arlette Laguiller,puy-de-dome,LO,"2,32%"
566,Pierre Boussel,puy-de-dome,"
								Mouvement pour un parti des travailleurs								","0,50%"
567,François Mitterrand,pyrenees-atlantiques,PS,"33,83%"
568,Jacques Chirac,pyrenees-atlantiques,RPR,"24,46%"
569,Raymond Barre,pyrenees-atlantiques,UDF,"18,11%"
570,Jean-Marie Le Pen,pyrenees-atlantiques,FN,"10,69%"
571,André Lajoinie,pyrenees-atlantiques,PCF,"4,95%"
572,Antoine Waechter,pyrenees-atlantiques,Les Verts,"3,41%"
573,Pierre Juquin,pyrenees-atlantiques,"
								Communiste rénovateur								","2,32%"
574,Arlette Laguiller,pyrenees-atlantiques,LO,"1,91%"
575,Pierre Boussel,pyrenees-atlantiques,"
								Mouvement pour un parti des travailleurs								","0,32%"
576,François Mitterrand,hautes-pyrenees,PS,"37,85%"
577,Jacques Chirac,hautes-pyrenees,RPR,"18,34%"
578,Raymond Barre,hautes-pyrenees,UDF,"15,62%"
579,Jean-Marie Le Pen,hautes-pyrenees,FN,"9,93%"
580,André Lajoinie,hautes-pyrenees,PCF,"9,76%"
581,Antoine Waechter,hautes-pyrenees,Les Verts,"3,19%"
582,Pierre Juquin,hautes-pyrenees,"
								Communiste rénovateur								","3,12%"
583,Arlette Laguiller,hautes-pyrenees,LO,"1,83%"
584,Pierre Boussel,hautes-pyrenees,"
								Mouvement pour un parti des travailleurs								","0,36%"
585,François Mitterrand,pyrenees-orientales,PS,"31,41%"
586,Jean-Marie Le Pen,pyrenees-orientales,FN,"20,52%"
587,Jacques Chirac,pyrenees-orientales,RPR,"17,81%"
588,Raymond Barre,pyrenees-orientales,UDF,"13,39%"
589,André Lajoinie,pyrenees-orientales,PCF,"9,39%"
590,Antoine Waechter,pyrenees-orientales,Les Verts,"3,19%"
591,Pierre Juquin,pyrenees-orientales,"
								Communiste rénovateur								","2,43%"
592,Arlette Laguiller,pyrenees-orientales,LO,"1,57%"
593,Pierre Boussel,pyrenees-orientales,"
								Mouvement pour un parti des travailleurs								","0,30%"
594,François Mitterrand,bas-rhin,PS,"28,19%"
595,Jean-Marie Le Pen,bas-rhin,FN,"21,94%"
596,Raymond Barre,bas-rhin,UDF,"18,60%"
597,Jacques Chirac,bas-rhin,RPR,"17,59%"
598,Antoine Waechter,bas-rhin,Les Verts,"9,37%"
599,Arlette Laguiller,bas-rhin,LO,"1,82%"
600,André Lajoinie,bas-rhin,PCF,"1,31%"
601,Pierre Juquin,bas-rhin,"
								Communiste rénovateur								","0,87%"
602,Pierre Boussel,bas-rhin,"
								Mouvement pour un parti des travailleurs								","0,30%"
603,François Mitterrand,haut-rhin,PS,"29,60%"
604,Jean-Marie Le Pen,haut-rhin,FN,"21,71%"
605,Raymond Barre,haut-rhin,UDF,"18,08%"
606,Jacques Chirac,haut-rhin,RPR,"17,07%"
607,Antoine Waechter,haut-rhin,Les Verts,"9,30%"
608,Arlette Laguiller,haut-rhin,LO,"1,72%"
609,André Lajoinie,haut-rhin,PCF,"1,52%"
610,Pierre Juquin,haut-rhin,"
								Communiste rénovateur								","0,75%"
611,Pierre Boussel,haut-rhin,"
								Mouvement pour un parti des travailleurs								","0,25%"
612,François Mitterrand,rhone,PS,"29,32%"
613,Raymond Barre,rhone,UDF,"21,99%"
614,Jean-Marie Le Pen,rhone,FN,"18,03%"
615,Jacques Chirac,rhone,RPR,"17,36%"
616,André Lajoinie,rhone,PCF,"5,46%"
617,Antoine Waechter,rhone,Les Verts,"3,81%"
618,Pierre Juquin,rhone,"
								Communiste rénovateur								","2,17%"
619,Arlette Laguiller,rhone,LO,"1,51%"
620,Pierre Boussel,rhone,"
								Mouvement pour un parti des travailleurs								","0,35%"
621,François Mitterrand,haute-saone,PS,"37,43%"
622,Jacques Chirac,haute-saone,RPR,"20,12%"
623,Raymond Barre,haute-saone,UDF,"15,49%"
624,Jean-Marie Le Pen,haute-saone,FN,"13,85%"
625,André Lajoinie,haute-saone,PCF,"4,63%"
626,Antoine Waechter,haute-saone,Les Verts,"4,11%"
627,Arlette Laguiller,haute-saone,LO,"2,32%"
628,Pierre Juquin,haute-saone,"
								Communiste rénovateur								","1,65%"
629,Pierre Boussel,haute-saone,"
								Mouvement pour un parti des travailleurs								","0,40%"
630,François Mitterrand,saone-et-loire,PS,"37,56%"
631,Jacques Chirac,saone-et-loire,RPR,"20,57%"
632,Raymond Barre,saone-et-loire,UDF,"17,18%"
633,Jean-Marie Le Pen,saone-et-loire,FN,"11,11%"
634,André Lajoinie,saone-et-loire,PCF,"6,45%"
635,Antoine Waechter,saone-et-loire,Les Verts,"3,26%"
636,Arlette Laguiller,saone-et-loire,LO,"1,86%"
637,Pierre Juquin,saone-et-loire,"
								Communiste rénovateur								","1,63%"
638,Pierre Boussel,saone-et-loire,"
								Mouvement pour un parti des travailleurs								","0,38%"
639,François Mitterrand,sarthe,PS,"38,09%"
640,Jacques Chirac,sarthe,RPR,"19,32%"
641,Raymond Barre,sarthe,UDF,"18,15%"
642,Jean-Marie Le Pen,sarthe,FN,"9,34%"
643,André Lajoinie,sarthe,PCF,"6,16%"
644,Antoine Waechter,sarthe,Les Verts,"3,64%"
645,Arlette Laguiller,sarthe,LO,"2,66%"
646,Pierre Juquin,sarthe,"
								Communiste rénovateur								","2,16%"
647,Pierre Boussel,sarthe,"
								Mouvement pour un parti des travailleurs								","0,47%"
648,François Mitterrand,savoie,PS,"30,37%"
649,Jacques Chirac,savoie,RPR,"20,95%"
650,Raymond Barre,savoie,UDF,"18,05%"
651,Jean-Marie Le Pen,savoie,FN,"15,21%"
652,André Lajoinie,savoie,PCF,"5,90%"
653,Antoine Waechter,savoie,Les Verts,"5,00%"
654,Pierre Juquin,savoie,"
								Communiste rénovateur								","2,23%"
655,Arlette Laguiller,savoie,LO,"1,88%"
656,Pierre Boussel,savoie,"
								Mouvement pour un parti des travailleurs								","0,42%"
657,François Mitterrand,haute-savoie,PS,"27,16%"
658,Raymond Barre,haute-savoie,UDF,"22,82%"
659,Jacques Chirac,haute-savoie,RPR,"22,52%"
660,Jean-Marie Le Pen,haute-savoie,FN,"15,47%"
661,Antoine Waechter,haute-savoie,Les Verts,"5,39%"
662,André Lajoinie,haute-savoie,PCF,"3,21%"
663,Pierre Juquin,haute-savoie,"
								Communiste rénovateur								","1,62%"
664,Arlette Laguiller,haute-savoie,LO,"1,47%"
665,Pierre Boussel,haute-savoie,"
								Mouvement pour un parti des travailleurs								","0,34%"
666,Jacques Chirac,paris,RPR,"31,57%"
667,François Mitterrand,paris,PS,"29,48%"
668,Raymond Barre,paris,UDF,"13,60%"
669,Jean-Marie Le Pen,paris,FN,"13,38%"
670,André Lajoinie,paris,PCF,"3,66%"
671,Antoine Waechter,paris,Les Verts,"3,64%"
672,Pierre Juquin,paris,"
								Communiste rénovateur								","2,76%"
673,Arlette Laguiller,paris,LO,"1,57%"
674,Pierre Boussel,paris,"
								Mouvement pour un parti des travailleurs								","0,34%"
675,François Mitterrand,seine-maritime,PS,"39,03%"
676,Jacques Chirac,seine-maritime,RPR,"16,77%"
677,Raymond Barre,seine-maritime,UDF,"16,06%"
678,Jean-Marie Le Pen,seine-maritime,FN,"11,23%"
679,André Lajoinie,seine-maritime,PCF,"8,64%"
680,Antoine Waechter,seine-maritime,Les Verts,"3,35%"
681,Arlette Laguiller,seine-maritime,LO,"2,41%"
682,Pierre Juquin,seine-maritime,"
								Communiste rénovateur								","2,07%"
683,Pierre Boussel,seine-maritime,"
								Mouvement pour un parti des travailleurs								","0,44%"
684,François Mitterrand,seine-et-marne,PS,"33,00%"
685,Jacques Chirac,seine-et-marne,RPR,"19,86%"
686,Jean-Marie Le Pen,seine-et-marne,FN,"17,75%"
687,Raymond Barre,seine-et-marne,UDF,"15,12%"
688,André Lajoinie,seine-et-marne,PCF,"6,30%"
689,Antoine Waechter,seine-et-marne,Les Verts,"3,81%"
690,Pierre Juquin,seine-et-marne,"
								Communiste rénovateur								","1,90%"
691,Arlette Laguiller,seine-et-marne,LO,"1,84%"
692,Pierre Boussel,seine-et-marne,"
								Mouvement pour un parti des travailleurs								","0,42%"
693,François Mitterrand,yvelines,PS,"29,38%"
694,Jacques Chirac,yvelines,RPR,"24,49%"
695,Raymond Barre,yvelines,UDF,"18,49%"
696,Jean-Marie Le Pen,yvelines,FN,"15,05%"
697,André Lajoinie,yvelines,PCF,"4,68%"
698,Antoine Waechter,yvelines,Les Verts,"3,95%"
699,Pierre Juquin,yvelines,"
								Communiste rénovateur								","2,02%"
700,Arlette Laguiller,yvelines,LO,"1,58%"
701,Pierre Boussel,yvelines,"
								Mouvement pour un parti des travailleurs								","0,35%"
702,François Mitterrand,deux-sevres,PS,"37,47%"
703,Jacques Chirac,deux-sevres,RPR,"21,20%"
704,Raymond Barre,deux-sevres,UDF,"21,14%"
705,Jean-Marie Le Pen,deux-sevres,FN,"7,49%"
706,Antoine Waechter,deux-sevres,Les Verts,"4,47%"
707,André Lajoinie,deux-sevres,PCF,"3,19%"
708,Arlette Laguiller,deux-sevres,LO,"2,66%"
709,Pierre Juquin,deux-sevres,"
								Communiste rénovateur								","1,80%"
710,Pierre Boussel,deux-sevres,"
								Mouvement pour un parti des travailleurs								","0,59%"
711,François Mitterrand,somme,PS,"36,68%"
712,Jacques Chirac,somme,RPR,"16,90%"
713,Raymond Barre,somme,UDF,"14,85%"
714,Jean-Marie Le Pen,somme,FN,"13,80%"
715,André Lajoinie,somme,PCF,"10,07%"
716,Antoine Waechter,somme,Les Verts,"2,87%"
717,Arlette Laguiller,somme,LO,"2,63%"
718,Pierre Juquin,somme,"
								Communiste rénovateur								","1,82%"
719,Pierre Boussel,somme,"
								Mouvement pour un parti des travailleurs								","0,39%"
720,François Mitterrand,tarn,PS,"36,53%"
721,Jacques Chirac,tarn,RPR,"19,15%"
722,Jean-Marie Le Pen,tarn,FN,"14,78%"
723,Raymond Barre,tarn,UDF,"14,74%"
724,André Lajoinie,tarn,PCF,"6,17%"
725,Antoine Waechter,tarn,Les Verts,"3,87%"
726,Pierre Juquin,tarn,"
								Communiste rénovateur								","2,31%"
727,Arlette Laguiller,tarn,LO,"2,07%"
728,Pierre Boussel,tarn,"
								Mouvement pour un parti des travailleurs								","0,37%"
729,François Mitterrand,tarn-et-garonne,PS,"36,37%"
730,Jacques Chirac,tarn-et-garonne,RPR,"20,41%"
731,Jean-Marie Le Pen,tarn-et-garonne,FN,"15,19%"
732,Raymond Barre,tarn-et-garonne,UDF,"13,70%"
733,André Lajoinie,tarn-et-garonne,PCF,"5,94%"
734,Antoine Waechter,tarn-et-garonne,Les Verts,"3,93%"
735,Pierre Juquin,tarn-et-garonne,"
								Communiste rénovateur								","2,11%"
736,Arlette Laguiller,tarn-et-garonne,LO,"1,98%"
737,Pierre Boussel,tarn-et-garonne,"
								Mouvement pour un parti des travailleurs								","0,36%"
738,François Mitterrand,var,PS,"25,46%"
739,Jean-Marie Le Pen,var,FN,"25,09%"
740,Jacques Chirac,var,RPR,"19,91%"
741,Raymond Barre,var,UDF,"16,17%"
742,André Lajoinie,var,PCF,"7,12%"
743,Antoine Waechter,var,Les Verts,"2,85%"
744,Pierre Juquin,var,"
								Communiste rénovateur								","1,93%"
745,Arlette Laguiller,var,LO,"1,22%"
746,Pierre Boussel,var,"
								Mouvement pour un parti des travailleurs								","0,26%"
747,François Mitterrand,vaucluse,PS,"29,42%"
748,Jean-Marie Le Pen,vaucluse,FN,"23,12%"
749,Jacques Chirac,vaucluse,RPR,"16,73%"
750,Raymond Barre,vaucluse,UDF,"15,18%"
751,André Lajoinie,vaucluse,PCF,"7,83%"
752,Antoine Waechter,vaucluse,Les Verts,"3,70%"
753,Pierre Juquin,vaucluse,"
								Communiste rénovateur								","2,04%"
754,Arlette Laguiller,vaucluse,LO,"1,58%"
755,Pierre Boussel,vaucluse,"
								Mouvement pour un parti des travailleurs								","0,40%"
756,François Mitterrand,vendee,PS,"32,19%"
757,Jacques Chirac,vendee,RPR,"24,51%"
758,Raymond Barre,vendee,UDF,"24,01%"
759,Jean-Marie Le Pen,vendee,FN,"8,70%"
760,Antoine Waechter,vendee,Les Verts,"3,91%"
761,André Lajoinie,vendee,PCF,"2,72%"
762,Arlette Laguiller,vendee,LO,"2,21%"
763,Pierre Juquin,vendee,"
								Communiste rénovateur								","1,37%"
764,Pierre Boussel,vendee,"
								Mouvement pour un parti des travailleurs								","0,38%"
765,François Mitterrand,vienne,PS,"37,86%"
766,Jacques Chirac,vienne,RPR,"21,77%"
767,Raymond Barre,vienne,UDF,"16,39%"
768,Jean-Marie Le Pen,vienne,FN,"9,30%"
769,André Lajoinie,vienne,PCF,"5,84%"
770,Antoine Waechter,vienne,Les Verts,"3,84%"
771,Arlette Laguiller,vienne,LO,"2,27%"
772,Pierre Juquin,vienne,"
								Communiste rénovateur								","2,26%"
773,Pierre Boussel,vienne,"
								Mouvement pour un parti des travailleurs								","0,47%"
774,François Mitterrand,haute-vienne,PS,"37,86%"
775,Jacques Chirac,haute-vienne,RPR,"22,14%"
776,André Lajoinie,haute-vienne,PCF,"11,36%"
777,Raymond Barre,haute-vienne,UDF,"10,98%"
778,Jean-Marie Le Pen,haute-vienne,FN,"7,84%"
779,Pierre Juquin,haute-vienne,"
								Communiste rénovateur								","4,05%"
780,Antoine Waechter,haute-vienne,Les Verts,"3,09%"
781,Arlette Laguiller,haute-vienne,LO,"2,30%"
782,Pierre Boussel,haute-vienne,"
								Mouvement pour un parti des travailleurs								","0,39%"
783,François Mitterrand,vosges,PS,"35,38%"
784,Jacques Chirac,vosges,RPR,"19,19%"
785,Raymond Barre,vosges,UDF,"17,36%"
786,Jean-Marie Le Pen,vosges,FN,"14,89%"
787,Antoine Waechter,vosges,Les Verts,"4,81%"
788,André Lajoinie,vosges,PCF,"3,93%"
789,Arlette Laguiller,vosges,LO,"2,54%"
790,Pierre Juquin,vosges,"
								Communiste rénovateur								","1,45%"
791,Pierre Boussel,vosges,"
								Mouvement pour un parti des travailleurs								","0,46%"
792,François Mitterrand,yonne,PS,"33,15%"
793,Jacques Chirac,yonne,RPR,"19,96%"
794,Raymond Barre,yonne,UDF,"17,23%"
795,Jean-Marie Le Pen,yonne,FN,"15,73%"
796,André Lajoinie,yonne,PCF,"6,31%"
797,Antoine Waechter,yonne,Les Verts,"3,63%"
798,Arlette Laguiller,yonne,LO,"1,81%"
799,Pierre Juquin,yonne,"
								Communiste rénovateur								","1,69%"
800,Pierre Boussel,yonne,"
								Mouvement pour un parti des travailleurs								","0,49%"
801,François Mitterrand,territoire-de-belfort,PS,"36,78%"
802,Jacques Chirac,territoire-de-belfort,RPR,"17,30%"
803,Jean-Marie Le Pen,territoire-de-belfort,FN,"16,77%"
804,Raymond Barre,territoire-de-belfort,UDF,"13,89%"
805,Antoine Waechter,territoire-de-belfort,Les Verts,"5,28%"
806,André Lajoinie,territoire-de-belfort,PCF,"4,49%"
807,Arlette Laguiller,territoire-de-belfort,LO,"2,89%"
808,Pierre Juquin,territoire-de-belfort,"
								Communiste rénovateur								","2,08%"
809,Pierre Boussel,territoire-de-belfort,"
								Mouvement pour un parti des travailleurs								","0,52%"
810,François Mitterrand,essonne,PS,"32,94%"
811,Jacques Chirac,essonne,RPR,"19,34%"
812,Raymond Barre,essonne,UDF,"15,84%"
813,Jean-Marie Le Pen,essonne,FN,"14,98%"
814,André Lajoinie,essonne,PCF,"6,86%"
815,Antoine Waechter,essonne,Les Verts,"4,33%"
816,Pierre Juquin,essonne,"
								Communiste rénovateur								","3,42%"
817,Arlette Laguiller,essonne,LO,"1,87%"
818,Pierre Boussel,essonne,"
								Mouvement pour un parti des travailleurs								","0,41%"
819,François Mitterrand,hauts-de-seine,PS,"29,11%"
820,Jacques Chirac,hauts-de-seine,RPR,"24,72%"
821,Raymond Barre,hauts-de-seine,UDF,"16,51%"
822,Jean-Marie Le Pen,hauts-de-seine,FN,"14,77%"
823,André Lajoinie,hauts-de-seine,PCF,"6,86%"
824,Antoine Waechter,hauts-de-seine,Les Verts,"3,67%"
825,Pierre Juquin,hauts-de-seine,"
								Communiste rénovateur								","2,42%"
826,Arlette Laguiller,hauts-de-seine,LO,"1,57%"
827,Pierre Boussel,hauts-de-seine,"
								Mouvement pour un parti des travailleurs								","0,36%"
828,François Mitterrand,seine-saint-denis,PS,"32,92%"
829,Jean-Marie Le Pen,seine-saint-denis,FN,"19,81%"
830,Jacques Chirac,seine-saint-denis,RPR,"14,61%"
831,André Lajoinie,seine-saint-denis,PCF,"13,51%"
832,Raymond Barre,seine-saint-denis,UDF,"11,10%"
833,Antoine Waechter,seine-saint-denis,Les Verts,"3,27%"
834,Pierre Juquin,seine-saint-denis,"
								Communiste rénovateur								","2,55%"
835,Arlette Laguiller,seine-saint-denis,LO,"1,81%"
836,Pierre Boussel,seine-saint-denis,"
								Mouvement pour un parti des travailleurs								","0,42%"
837,François Mitterrand,val-de-marne,PS,"31,46%"
838,Jacques Chirac,val-de-marne,RPR,"19,38%"
839,Jean-Marie Le Pen,val-de-marne,FN,"15,65%"
840,Raymond Barre,val-de-marne,UDF,"14,03%"
841,André Lajoinie,val-de-marne,PCF,"10,95%"
842,Antoine Waechter,val-de-marne,Les Verts,"3,80%"
843,Pierre Juquin,val-de-marne,"
								Communiste rénovateur								","2,69%"
844,Arlette Laguiller,val-de-marne,LO,"1,63%"
845,Pierre Boussel,val-de-marne,"
								Mouvement pour un parti des travailleurs								","0,42%"
846,François Mitterrand,val-d-oise,PS,"33,20%"
847,Jean-Marie Le Pen,val-d-oise,FN,"18,08%"
848,Jacques Chirac,val-d-oise,RPR,"18,00%"
849,Raymond Barre,val-d-oise,UDF,"14,53%"
850,André Lajoinie,val-d-oise,PCF,"7,90%"
851,Antoine Waechter,val-d-oise,Les Verts,"3,81%"
852,Pierre Juquin,val-d-oise,"
								Communiste rénovateur								","2,24%"
853,Arlette Laguiller,val-d-oise,LO,"1,80%"
854,Pierre Boussel,val-d-oise,"
								Mouvement pour un parti des travailleurs								","0,44%"
855,François Mitterrand,guadeloupe,PS,"55,02%"
856,Jacques Chirac,guadeloupe,RPR,"25,31%"
857,Raymond Barre,guadeloupe,UDF,"10,56%"
858,André Lajoinie,guadeloupe,PCF,"5,46%"
859,Jean-Marie Le Pen,guadeloupe,FN,"1,68%"
860,Arlette Laguiller,guadeloupe,LO,"0,78%"
861,Antoine Waechter,guadeloupe,Les Verts,"0,59%"
862,Pierre Juquin,guadeloupe,"
								Communiste rénovateur								","0,41%"
863,Pierre Boussel,guadeloupe,"
								Mouvement pour un parti des travailleurs								","0,18%"
864,François Mitterrand,martinique,PS,"58,87%"
865,Jacques Chirac,martinique,RPR,"19,86%"
866,Raymond Barre,martinique,UDF,"16,35%"
867,André Lajoinie,martinique,PCF,"1,98%"
868,Jean-Marie Le Pen,martinique,FN,"1,17%"
869,Arlette Laguiller,martinique,LO,"0,71%"
870,Antoine Waechter,martinique,Les Verts,"0,59%"
871,Pierre Juquin,martinique,"
								Communiste rénovateur								","0,30%"
872,Pierre Boussel,martinique,"
								Mouvement pour un parti des travailleurs								","0,17%"
873,François Mitterrand,guyane,PS,"51,94%"
874,Jacques Chirac,guyane,RPR,"30,56%"
875,Raymond Barre,guyane,UDF,"9,16%"
876,Jean-Marie Le Pen,guyane,FN,"4,71%"
877,Antoine Waechter,guyane,Les Verts,"1,17%"
878,Arlette Laguiller,guyane,LO,"0,90%"
879,André Lajoinie,guyane,PCF,"0,68%"
880,Pierre Juquin,guyane,"
								Communiste rénovateur								","0,64%"
881,Pierre Boussel,guyane,"
								Mouvement pour un parti des travailleurs								","0,23%"
882,François Mitterrand,la-reunion,PS,"51,15%"
883,Raymond Barre,la-reunion,UDF,"24,51%"
884,Jacques Chirac,la-reunion,RPR,"17,46%"
885,André Lajoinie,la-reunion,PCF,"2,54%"
886,Jean-Marie Le Pen,la-reunion,FN,"1,77%"
887,Arlette Laguiller,la-reunion,LO,"0,86%"
888,Antoine Waechter,la-reunion,Les Verts,"0,78%"
889,Pierre Juquin,la-reunion,"
								Communiste rénovateur								","0,62%"
890,Pierre Boussel,la-reunion,"
								Mouvement pour un parti des travailleurs								","0,32%"
891,Raymond Barre,mayotte,UDF,"54,87%"
892,Jacques Chirac,mayotte,RPR,"36,89%"
893,François Mitterrand,mayotte,PS,"4,01%"
894,Jean-Marie Le Pen,mayotte,FN,"1,29%"
895,André Lajoinie,mayotte,PCF,"1,25%"
896,Pierre Juquin,mayotte,"
								Communiste rénovateur								","0,58%"
897,Arlette Laguiller,mayotte,LO,"0,52%"
898,Pierre Boussel,mayotte,"
								Mouvement pour un parti des travailleurs								","0,35%"
899,Antoine Waechter,mayotte,Les Verts,"0,24%"
900,Jacques Chirac,saint-pierre-et-miquelon,RPR,"34,98%"
901,François Mitterrand,saint-pierre-et-miquelon,PS,"32,23%"
902,Raymond Barre,saint-pierre-et-miquelon,UDF,"14,14%"
903,Antoine Waechter,saint-pierre-et-miquelon,Les Verts,"8,42%"
904,Jean-Marie Le Pen,saint-pierre-et-miquelon,FN,"4,93%"
905,Arlette Laguiller,saint-pierre-et-miquelon,LO,"2,79%"
906,Pierre Juquin,saint-pierre-et-miquelon,"
								Communiste rénovateur								","0,93%"
907,André Lajoinie,saint-pierre-et-miquelon,PCF,"0,93%"
908,Pierre Boussel,saint-pierre-et-miquelon,"
								Mouvement pour un parti des travailleurs								","0,65%"
909,Jacques Chirac,wallis-et-futuna,RPR,"52,27%"
910,Raymond Barre,wallis-et-futuna,UDF,"39,31%"
911,François Mitterrand,wallis-et-futuna,PS,"7,22%"
912,Jean-Marie Le Pen,wallis-et-futuna,FN,"0,62%"
913,Antoine Waechter,wallis-et-futuna,Les Verts,"0,20%"
914,Arlette Laguiller,wallis-et-futuna,LO,"0,17%"
